Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
CNN-3,64.0,10.0,50.0,0.0005,val_accuracy,0.5694444444444444
CNN-4,64.0,10.0,100.0,0.001,val_accuracy,0.5652777777777778
CNN-1,128.0,3.0,50.0,0.001,val_accuracy,0.5638888888888889
CNN-4,64.0,5.0,100.0,0.0005,val_accuracy,0.5611111111111111
CNN-4,64.0,10.0,50.0,0.001,val_accuracy,0.5611111111111111
CNN-0,128.0,5.0,50.0,0.0005,val_accuracy,0.5569444444444445
CNN-4,128.0,10.0,100.0,0.0005,val_accuracy,0.5569444444444445
CNN-4,64.0,10.0,100.0,0.0005,val_accuracy,0.5555555555555556
CNN-0,64.0,10.0,100.0,0.0005,val_accuracy,0.5555555555555556
CNN-3,64.0,10.0,100.0,0.0005,val_accuracy,0.5541666666666667
CNN-1,128.0,5.0,100.0,0.0005,val_accuracy,0.5541666666666666
CNN-0,64.0,10.0,50.0,0.0005,val_accuracy,0.5527777777777778
CNN-4,128.0,10.0,100.0,0.001,val_accuracy,0.5527777777777778
CNN-4,64.0,5.0,50.0,0.001,val_accuracy,0.5527777777777778
CNN-4,64.0,5.0,50.0,0.0005,val_accuracy,0.5513888888888888
CNN-4,64.0,10.0,50.0,0.0005,val_accuracy,0.55
CNN-0,128.0,10.0,100.0,0.0005,val_accuracy,0.55
CNN-0,64.0,10.0,50.0,0.001,val_accuracy,0.548611111111111
CNN-1,128.0,10.0,50.0,0.001,val_accuracy,0.5472222222222223
CNN-4,128.0,5.0,100.0,0.0005,val_accuracy,0.5472222222222223
CNN-0,128.0,10.0,100.0,0.001,val_accuracy,0.5472222222222223
CNN-3,64.0,3.0,100.0,0.0005,val_accuracy,0.5458333333333333
CNN-1,128.0,5.0,50.0,0.0001,val_accuracy,0.5444444444444445
CNN-1,128.0,10.0,100.0,0.0001,val_accuracy,0.5444444444444445
CNN-0,128.0,10.0,50.0,0.0005,val_accuracy,0.5444444444444445
CNN-1,128.0,3.0,100.0,0.001,val_accuracy,0.5444444444444445
CNN-4,128.0,10.0,50.0,0.001,val_accuracy,0.5430555555555555
CNN-1,128.0,3.0,100.0,0.0005,val_accuracy,0.5430555555555555
CNN-3,64.0,5.0,50.0,0.0005,val_accuracy,0.5430555555555555
CNN-3,128.0,10.0,100.0,0.0005,val_accuracy,0.5416666666666667
CNN-3,64.0,5.0,50.0,0.001,val_accuracy,0.5416666666666666
CNN-0,128.0,5.0,100.0,0.0005,val_accuracy,0.5402777777777777
