Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-6,64,10,100,0.0005,val_accuracy,0.30353009266157943
DNN-6,64,10,100,0.0001,val_accuracy,0.3029513868192832
DNN-6,128,10,100,0.001,val_accuracy,0.30092592475314933
DNN-6,128,10,50,0.0005,val_accuracy,0.29832176057000953
DNN-3,128,10,100,0.0005,val_accuracy,0.2977430547277133
DNN-3,128,5,100,0.0005,val_accuracy,0.29600694465140504
DNN-6,128,5,100,0.0005,val_accuracy,0.29600694216787815
DNN-3,64,5,50,0.0005,val_accuracy,0.2957175939033429
DNN-3,64,10,100,0.0005,val_accuracy,0.29484953669210273
DNN-3,128,10,50,0.0001,val_accuracy,0.2942708283662796
DNN-2,64,10,50,0.0001,val_accuracy,0.29340277922650176
DNN-2,64,10,100,0.0001,val_accuracy,0.2934027786056201
DNN-9,128,10,50,0.001,val_accuracy,0.2931134259949128
DNN-6,64,5,50,0.0005,val_accuracy,0.2925347226361434
DNN-6,64,5,100,0.0005,val_accuracy,0.29224537250896293
DNN-6,128,5,50,0.0005,val_accuracy,0.2922453706463178
DNN-3,64,10,50,0.0005,val_accuracy,0.29224536878367263
DNN-6,128,10,100,0.0005,val_accuracy,0.29224536816279095
DNN-9,64,10,50,0.001,val_accuracy,0.29224536816279095
DNN-6,64,3,50,0.0005,val_accuracy,0.2916666641831398
DNN-6,64,5,50,0.0001,val_accuracy,0.29108796392877895
DNN-8,128,10,100,0.001,val_accuracy,0.29108796392877895
DNN-6,64,10,50,0.001,val_accuracy,0.2910879629974564
DNN-5,128,5,100,0.0005,val_accuracy,0.2907986097658674
DNN-6,64,10,50,0.0005,val_accuracy,0.29050926057000953
DNN-3,64,10,100,0.0001,val_accuracy,0.29050926057000953
DNN-2,64,5,100,0.0005,val_accuracy,0.29050926057000953
DNN-9,128,10,100,0.001,val_accuracy,0.2905092593282461
DNN-3,64,10,50,0.0001,val_accuracy,0.2905092593282461
DNN-3,128,10,50,0.0005,val_accuracy,0.29021991106371087
