Model,Feature Group,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-6,mfcc20,128,10,50,0.0005,val_accuracy,0.6527777910232544
DNN-8,mfcc20,64,10,100,0.0005,val_accuracy,0.6458333134651184
DNN-7,mfcc20,64,10,100,0.0005,val_accuracy,0.6458333134651184
DNN-7,mfcc40,128,10,100,0.001,val_accuracy,0.6319444179534912
DNN-3,mfcc20,128,10,100,0.0005,val_accuracy,0.6319444179534912
DNN-3,mfcc20,128,5,100,0.0005,val_accuracy,0.6319444179534912
DNN-8,mfcc20,64,3,100,0.001,val_accuracy,0.6319444179534912
DNN-7,mfcc20,64,5,50,0.001,val_accuracy,0.6319444179534912
DNN-5,mfcc20,64,10,100,0.0001,val_accuracy,0.6319444179534912
DNN-6,mfcc13,128,10,100,0.001,val_accuracy,0.6319444179534912
DNN-9,mfcc20,64,5,50,0.001,val_accuracy,0.625
DNN-2,mfcc40,128,5,100,0.001,val_accuracy,0.625
DNN-3,mfcc20,64,10,50,0.001,val_accuracy,0.625
DNN-3,mfcc20,64,5,100,0.0005,val_accuracy,0.625
DNN-6,mfcc40,128,5,50,0.0005,val_accuracy,0.625
DNN-9,mfcc40,64,3,50,0.0005,val_accuracy,0.625
DNN-9,mfcc20,64,3,100,0.001,val_accuracy,0.625
DNN-0,mfcc40,64,10,50,0.0001,val_accuracy,0.6180555820465088
DNN-2,mfcc20,128,3,50,0.001,val_accuracy,0.6180555820465088
DNN-3,mfcc40,128,5,100,0.0005,val_accuracy,0.6180555820465088
DNN-3,mfcc20,128,10,50,0.0005,val_accuracy,0.6180555820465088
DNN-3,mfcc40,128,10,50,0.001,val_accuracy,0.6180555820465088
DNN-5,mfcc20,64,3,50,0.001,val_accuracy,0.6180555820465088
DNN-4,mfcc40,128,5,50,0.001,val_accuracy,0.6180555820465088
DNN-3,mfcc40,64,5,100,0.0001,val_accuracy,0.6180555820465088
DNN-2,mfcc20,64,10,50,0.001,val_accuracy,0.6180555820465088
DNN-9,mfcc40,64,5,50,0.0005,val_accuracy,0.6180555820465088
DNN-3,mfcc40,64,5,50,0.0005,val_accuracy,0.6111111044883728
DNN-7,mfcc40,64,10,100,0.001,val_accuracy,0.6111111044883728
DNN-3,mfcc20,128,5,50,0.0005,val_accuracy,0.6111111044883728
DNN-3,mfcc20,64,3,100,0.0005,val_accuracy,0.6111111044883728
DNN-3,mfcc20,128,3,100,0.001,val_accuracy,0.6111111044883728
DNN-3,mfcc40,64,3,50,0.001,val_accuracy,0.6111111044883728
DNN-3,mfcc40,64,3,100,0.0005,val_accuracy,0.6111111044883728
DNN-6,mfcc20,128,5,50,0.001,val_accuracy,0.6111111044883728
DNN-3,mfcc13,128,10,50,0.001,val_accuracy,0.6111111044883728
DNN-3,mfcc20,64,10,50,0.0005,val_accuracy,0.6111111044883728
DNN-2,mfcc20,64,3,50,0.0005,val_accuracy,0.6111111044883728
DNN-5,mfcc20,128,5,100,0.0005,val_accuracy,0.6111111044883728
DNN-6,mfcc40,64,10,100,0.001,val_accuracy,0.6111111044883728
DNN-2,mfcc20,128,3,50,0.0005,val_accuracy,0.6111111044883728
DNN-3,mfcc40,128,10,100,0.001,val_accuracy,0.6111111044883728
DNN-9,mfcc20,64,5,50,0.0005,val_accuracy,0.6111111044883728
DNN-2,mfcc40,64,5,100,0.0005,val_accuracy,0.6111111044883728
DNN-6,mfcc13,64,3,100,0.001,val_accuracy,0.6111111044883728
DNN-2,mfcc40,128,3,50,0.0001,val_accuracy,0.6111111044883728
DNN-6,mfcc20,64,5,50,0.001,val_accuracy,0.6041666865348816
DNN-7,mfcc20,128,10,50,0.001,val_accuracy,0.6041666865348816
DNN-6,mfcc20,64,5,100,0.001,val_accuracy,0.6041666865348816
DNN-8,mfcc40,64,3,100,0.001,val_accuracy,0.6041666865348816
DNN-4,mfcc20,64,10,100,0.001,val_accuracy,0.6041666865348816
DNN-9,mfcc20,64,5,100,0.001,val_accuracy,0.6041666865348816
DNN-8,mfcc20,64,3,50,0.0005,val_accuracy,0.6041666865348816
DNN-8,mfcc13,128,10,50,0.0005,val_accuracy,0.6041666865348816
DNN-3,mfcc40,128,10,100,0.0001,val_accuracy,0.6041666865348816
DNN-3,mfcc40,64,10,50,0.0005,val_accuracy,0.6041666865348816
DNN-7,mfcc13,64,3,50,0.0005,val_accuracy,0.6041666865348816
DNN-6,mfcc40,64,5,50,0.0005,val_accuracy,0.6041666865348816
